,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid
93,0.0,0.0,0.0,9,1,2,what country in east-central Asia is pagamsuren altantulga from,[['dbo:birthPlace']],"['dbo:country', 'dbo:nationality']",factoid
101,0.0,0.0,0.0,7,1,2,What is the dubai zoo membership called?,[['dbp:members']],"['dbp:governingBody', 'dbp:purpose']",factoid
113,0.0,0.0,0.0,7,1,1,Does Fa'a' International Airport serve tahiti too?,[['dbp:cityServed']],['dbo:city'],boolean
114,0.0,0.0,0.0,7,1,1,Name a song written by michael giacchino,[['dbo:artist']],['dbo:writer'],list
133,0.0,0.0,0.0,9,1,5,How many airlines are members of the Star Alliance?,[['dbo:alliance']],"['dbo:hubAirport', 'dbo:targetAirport', 'dbp:destinations', 'dbp:headquarters', 'dbp:hubs']",count
136,0.0,0.0,0.0,9,1,1,Were the 1995 south pacific games hosted in tahiti?,[['dbp:hostCity']],['dbo:location'],factoid
190,0.0,0.0,0.0,8,1,1,Which company's division is Audi India? Correct Question,[['dbp:divisions']],['dbo:division'],factoid
194,0.0,0.0,0.0,20,2,3,Which ceremonial County of the East Tilbury is also the local authority of the Buckhurst Hill County High School ?,"[['dbo:localAuthority'], ['dbo:ceremonialCounty']]","['dbo:region', 'dbo:state', 'dbp:state']",factoid
204,0.0,0.0,0.0,4,1,3,Is lion an animal?,[['dbo:kingdom']],"['dbo:class', 'dbo:family', 'dbo:order']",boolean
247,0.0,0.0,0.0,14,2,4,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:manufacturer', 'dbo:predecessor', 'dbo:successor', 'dbp:predecessor']",factoid
257,0.0,0.0,0.0,8,1,1,what projects did susarla dakshinamurthi primarily work on,[['dbo:genre']],['dbo:writer'],factoid
261,0.0,0.0,0.0,10,1,3,Was Zambezi originate in the north western province of zambia?,[['dbp:sourceRegion']],"['dbo:hometown', 'dbo:origin', 'dbo:sourceCountry']",boolean
277,0.0,0.0,0.0,4,1,2,What county is taliesin,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid
285,0.0,0.0,0.0,10,1,1,what city in new york did joseph francis flannelly die,[['dbp:deathPlace']],['dbo:deathPlace'],factoid
299,0.0,0.0,0.0,9,1,4,Where is the arena of WPC Dynamo Moscow situated?,[['dbp:arena']],"['dbo:location', 'dbo:locationCity', 'dbo:tenant', 'dbp:venue']",factoid
315,0.0,0.0,0.0,7,1,3,Name the incumbent of Linda Jenness ?,[['dbo:incumbent']],"['dbo:primeMinister', 'dbp:deputy', 'dbp:successor']",list
347,0.0,0.0,0.0,10,2,6,In which municipalities does the NYC housing authority own buildings?,"[['dbo:owningOrganisation'], ['dbo:municipality']]","['dbo:builder', 'dbo:city', 'dbo:location', 'dbo:maintainedBy', 'dbo:tenant', 'dbp:owner']",factoid
367,0.0,0.0,0.0,7,1,0,Is Pixar Canada a subsidiary of Pixar?,[['dbo:subsidiary']],[],boolean
371,0.0,0.0,0.0,8,1,3,Name the branch of Carroll E. Lanier ?,[['dbp:branch']],"['dbo:militaryBranch', 'dbo:relation', 'dbo:relative']",list
374,0.0,0.0,0.0,6,1,2,what state is mountain view from?,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid
384,0.0,0.0,0.0,7,1,1,kwyi's mainly plays what type of music?,[['dbo:programmeFormat']],['dbo:genre'],list
388,0.0,0.0,0.0,6,1,2,Give me the Apollo 14 astronauts.,[['dbo:mission']],"['dbp:mission', 'dbp:type']",list
410,0.0,0.0,0.0,7,1,4,Was Yabanc Damat first aired in UAE?,[['dbp:firstAired']],"['dbo:country', 'dbo:network', 'dbp:broadcastArea', 'dbp:network']",boolean
424,0.0,0.0,0.0,6,1,1,who are some miss michigan usa?,[['dbp:title']],['dbo:country'],factoid
429,0.0,0.0,0.0,12,2,1,What is the country of the Hirth Acrostar and the Cobra missile?,"[['dbo:origin'], ['dbo:origin']]",['dbo:country'],factoid
471,0.0,0.0,0.0,6,1,1,Which country is greg demos from,[['dbo:nationality']],['dbo:artist'],factoid
487,0.0,0.0,0.0,8,1,0,What basketball league's champion is Golden State Warriors,[['dbp:champion']],[],factoid
515,0.0,0.0,0.0,7,1,1,What is aneek dhar's place of birth,[['dbo:hometown']],['dbo:birthPlace'],factoid
529,0.0,0.0,0.0,9,1,1,How many states does the Pioneer corporation operate in?,[['dbp:country']],['dbo:location'],count
549,0.0,0.0,0.0,7,1,1,Was the USS Tillamook built in Seattle?,[['dbp:shipBuilder']],['dbo:launchSite'],boolean
567,0.0,0.0,0.0,7,1,1,what position did bill fulcher ever play,[['dbp:playerPositions']],['dbo:position'],factoid
574,0.0,0.0,0.0,11,2,6,"Which parties have their members live in the PM House, Colombo?","[['dbo:leader'], ['dbp:residence']]","['dbo:leaderName', 'dbo:party', 'dbo:residence', 'dbp:constituency', 'dbp:leader', 'dbp:party']",factoid
576,0.0,0.0,0.0,6,1,2,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",factoid
577,0.0,0.0,0.0,5,1,3,where was michael pinnella was,[['dbo:birthPlace']],"['dbo:country', 'dbo:isPartOf', 'dbo:region']",factoid
598,0.0,0.0,0.0,8,1,1,"Where was Live in Detroit, MI recorded ?",[['dbo:recordedIn']],['dbo:hometown'],factoid
610,0.0,0.0,0.0,7,1,0,Which U.S. state has the abbreviation MN?,[['dbp:postalabbreviation']],[],factoid
