,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid
39,0.5,0.2,0.28571428571428575,11,2,5,In which city are the schools whose district is Mumbai Suburban?,"[['dbp:district'], ['dbo:city']]","['dbo:city', 'dbo:country', 'dbo:location', 'dbo:region', 'dbo:state']",factoid
68,0.5,0.25,0.3333333333333333,11,2,4,In which cities do some railways operated by Russian railways start?,"[['dbo:operatedBy'], ['dbo:routeStart']]","['dbo:routeEnd', 'dbo:routeJunction', 'dbo:routeStart', 'dbp:headquarters']",factoid
93,0.0,0.0,0.0,9,1,2,what country in east-central Asia is pagamsuren altantulga from,[['dbo:birthPlace']],"['dbo:country', 'dbo:nationality']",factoid
101,0.0,0.0,0.0,7,1,2,What is the dubai zoo membership called?,[['dbp:members']],"['dbp:governingBody', 'dbp:purpose']",factoid
113,0.0,0.0,0.0,7,1,1,Does Fa'a' International Airport serve tahiti too?,[['dbp:cityServed']],['dbo:city'],boolean
114,0.0,0.0,0.0,7,1,1,Name a song written by michael giacchino,[['dbo:artist']],['dbo:writer'],list
133,0.0,0.0,0.0,9,1,5,How many airlines are members of the Star Alliance?,[['dbo:alliance']],"['dbo:hubAirport', 'dbo:targetAirport', 'dbp:destinations', 'dbp:headquarters', 'dbp:hubs']",count
136,0.0,0.0,0.0,9,1,1,Were the 1995 south pacific games hosted in tahiti?,[['dbp:hostCity']],['dbo:location'],factoid
181,0.5,0.16666666666666666,0.25,8,2,6,"How many companies were founded in Denton, texas?","[['dbo:foundationPlace'], ['dbo:part']]","['dbo:foundationPlace', 'dbo:foundedBy', 'dbo:founder', 'dbo:locationCity', 'dbp:foundation', 'dbp:founder']",count
186,0.5,0.5,0.5,17,2,2,Count the number of ingredient of the foods which have one of the ingredient is Pork ?,"[['dbo:ingredient'], ['dbo:ingredient']]","['dbo:ingredient', 'dbp:mainIngredient']",count
190,0.0,0.0,0.0,8,1,1,Which company's division is Audi India? Correct Question,[['dbp:divisions']],['dbo:division'],factoid
193,0.5,0.14285714285714285,0.22222222222222224,10,2,7,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]","['dbo:foundationPlace', 'dbo:manufacturer', 'dbo:product', 'dbp:foundation', 'dbp:keyPeople', 'dbp:products', 'dbp:services']",factoid
194,0.0,0.0,0.0,20,2,3,Which ceremonial County of the East Tilbury is also the local authority of the Buckhurst Hill County High School ?,"[['dbo:localAuthority'], ['dbo:ceremonialCounty']]","['dbo:region', 'dbo:state', 'dbp:state']",factoid
201,0.5,0.25,0.3333333333333333,21,2,4,What is the local authority of the Buckhurst Hill County High School is also the birth palce of Sarah hampion ?,"[['dbo:localAuthority'], ['dbp:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace', 'dbp:placeOfBirth', 'dbp:state']",factoid
204,0.0,0.0,0.0,4,1,3,Is lion an animal?,[['dbo:kingdom']],"['dbo:class', 'dbo:family', 'dbo:order']",boolean
207,0.5,0.16666666666666666,0.25,11,2,6,List the television shows whose network's executive officer is Steve Burke.,"[['dbo:network'], ['dbo:keyPerson']]","['dbo:executiveProducer', 'dbo:network', 'dbp:company', 'dbp:judges', 'dbp:network', 'dbp:voices']",list
220,0.5,0.3333333333333333,0.4,12,2,3,How many universities are located in a country led by Olemic Thommessen?,"[['dbo:country'], ['dbp:leaderName']]","['dbo:country', 'dbo:region', 'dbo:state']",count
247,0.0,0.0,0.0,14,2,4,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:manufacturer', 'dbo:predecessor', 'dbo:successor', 'dbp:predecessor']",factoid
257,0.0,0.0,0.0,8,1,1,what projects did susarla dakshinamurthi primarily work on,[['dbo:genre']],['dbo:writer'],factoid
261,0.0,0.0,0.0,10,1,3,Was Zambezi originate in the north western province of zambia?,[['dbp:sourceRegion']],"['dbo:hometown', 'dbo:origin', 'dbo:sourceCountry']",boolean
277,0.0,0.0,0.0,4,1,2,What county is taliesin,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid
285,0.0,0.0,0.0,10,1,1,what city in new york did joseph francis flannelly die,[['dbp:deathPlace']],['dbo:deathPlace'],factoid
299,0.0,0.0,0.0,9,1,4,Where is the arena of WPC Dynamo Moscow situated?,[['dbp:arena']],"['dbo:location', 'dbo:locationCity', 'dbo:tenant', 'dbp:venue']",factoid
315,0.0,0.0,0.0,7,1,3,Name the incumbent of Linda Jenness ?,[['dbo:incumbent']],"['dbo:primeMinister', 'dbp:deputy', 'dbp:successor']",list
