,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
16,1.0,1.0,1.0,8,1,1,Name a baseball player that plays left fielder.,[['dbo:position']],['dbo:position'],list,name baseball player plays left fielder .,4,-0.008836541881462393,0.10284033549612429
27,1.0,1.0,1.0,10,1,1,what type of book is the name of the rose?,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid,type book name rose ?,4,0.07982878709216439,0.13535828835966288
29,1.0,1.0,1.0,9,1,1,where in ohio is ilse lehiste's place of death?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,ohio ilse lehiste 's place death ?,4,-0.038471216850939176,-0.004415697032395501
34,1.0,1.0,1.0,10,1,1,What is the name of a song by rick derringer,[['dbo:artist']],['dbo:artist'],factoid,name song rick derringer,4,-0.005603425803351939,0.1425959999628859
44,1.0,1.0,1.0,11,1,1,what is the name of a track recorded by charles mingus,[['dbo:artist']],['dbo:artist'],factoid,name track recorded charles mingus,4,-0.0032015790086571566,0.14933411686575135
45,1.0,1.0,1.0,7,1,1,what was lauren woodland's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,lauren woodland 's place birth ?,4,-0.04359015754754234,-0.007170791988476317
47,1.0,1.0,1.0,9,1,2,who is new york city the birth place of,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid,new york city birth place,4,-0.10105956179998979,0.046310855180987105
62,0.0,0.0,0.0,11,1,0,Name a city that starts with an 'f' in sacramento county,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]",[],list,name city starts ' f ' sacramento county,4,-0.046172593092238035,0.16012849293736972
77,1.0,1.0,1.0,8,1,1,what is fireman jim flynn's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,fireman jim flynn 's place birth ?,4,-0.042121798532839934,-0.008686888814781994
114,0.0,0.0,0.0,7,1,1,Name a song written by michael giacchino,[['dbo:artist']],['dbo:writer'],list,name song written michael giacchino,4,-0.012629979527880178,0.14700810664643946
117,1.0,1.0,1.0,10,1,1,what's the name of the label russell mael's signed to,[['dbo:recordLabel']],['dbo:recordLabel'],list,'s name label russell mael 's signed,4,-0.0019329760305423712,0.13710194745732462
118,1.0,1.0,1.0,7,1,1,what is trond egil soltvedt's birth place,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,trond egil soltvedt 's birth place,4,-0.040926252312720984,-0.00866971614897827
120,1.0,1.0,1.0,4,1,1,Name an English businessman?,[['dbo:occupation']],['dbo:occupation'],list,name english businessman ?,4,0.004819733707534246,0.19242190032058343
185,1.0,1.0,1.0,10,1,1,What is the name of a british freestyle music singer?,[['dbo:genre']],['dbo:genre'],factoid,name british freestyle music singer ?,4,0.12875324882353062,0.09434281660007263
197,1.0,1.0,1.0,6,1,7,Name a city located in wisconsin,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name city located wisconsin,4,-0.07951594442552509,0.2553950851486798
202,1.0,1.0,1.0,10,1,1,What is the name of a rhythm and blues album?,[['dbo:genre']],['dbo:genre'],factoid,name rhythm blues album ?,4,0.18694430757106462,0.2859317444838164
209,1.0,1.0,1.0,8,1,1,what is the name of a fantasy book,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid,name fantasy book,4,0.03948219668007518,0.2320690900835268
224,1.0,1.0,1.0,8,1,1,what's the name of a folk music act,[['dbo:genre']],['dbo:genre'],list,'s name folk music act,4,0.17800656649146568,0.11274617913265378
278,1.0,1.0,1.0,10,1,1,What is the name of a popular gloria estefan album,[['dbo:artist']],['dbo:artist'],factoid,name popular gloria estefan album,4,0.11505815646755695,0.18700828712329579
297,1.0,1.0,1.0,8,1,1,Name a tv program created by eric kripke,[['dbo:creator']],['dbo:creator'],list,name tv program created eric kripke,4,-0.0032850464749319603,0.12015405624346945
314,1.0,1.0,1.0,5,1,7,Name a location in maryland,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name location maryland,4,0.0012716599870626344,0.21201019538151186
315,0.0,0.0,0.0,7,1,0,Name the incumbent of Linda Jenness ?,[['dbo:incumbent']],[],list,name incumbent linda jenness ?,4,-0.004199424450155903,0.12052177633077502
326,1.0,1.0,1.0,7,1,1,what is the name of compilation album,[['dbo:type']],['dbo:type'],factoid,name compilation album,4,0.22628261799231228,0.3341249325184075
328,0.0,0.0,0.0,8,1,0,Name the street address of Rhodes-Haverty Building ?,[['dbp:address']],[],list,name street address rhodes-haverty building ?,4,-0.00945256585770877,0.1011471988981115
331,1.0,1.0,1.0,6,1,1,Name few companies founded in Texas?,[['dbo:foundationPlace']],['dbo:foundationPlace'],list,name companies founded texas ?,4,-0.004260874946313867,0.1680599305453051
358,1.0,1.0,1.0,7,1,1,where did siege of mafeking take place,[['dbo:place']],['dbo:place'],factoid,siege mafeking take place,4,-0.03904151571988536,-0.006602460385029618
363,1.0,1.0,1.0,10,1,1,What is the name of one of chet atkins albums,[['dbo:artist']],['dbo:artist'],factoid,name one chet atkins albums,4,-8.987298272506958e-05,0.12753722722630298
371,0.0,0.0,0.0,8,1,0,Name the branch of Carroll E. Lanier ?,[['dbp:branch']],[],list,name branch carroll e. lanier ?,4,-0.002704739334835395,0.12907482895485922
411,1.0,1.0,1.0,7,1,1,what is the name of a retail-store,[['dbo:industry']],['dbo:industry'],factoid,name retail-store,4,0.001321177027697647,0.1532355634438371
437,1.0,1.0,1.0,5,1,5,Name a location in seoul.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",list,name location seoul .,4,-0.00014815963886244345,0.188154732366407
443,0.0,0.0,0.0,12,1,0,What is the name of an album by an arena rock band,[['dbo:genre']],[],factoid,name album arena rock band,4,0.22502461215008923,0.2875824142977363
